2015-07-21 19:19:16,054 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.lviv.java.adv:MyProjEclipse:0.0.2-SNAPSHOT @ D:\Mpomfyuk\WebApp\MyProjEclipse\pom.xml.
2015-07-21 19:19:17,425 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.lviv.java.adv:MyProjEclipse:0.0.2-SNAPSHOT @ D:\Mpomfyuk\WebApp\MyProjEclipse\pom.xml.
2015-07-21 19:19:18,462 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MyProjEclipse/src/main/java
2015-07-21 19:19:18,464 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MyProjEclipse/src/main/resources
2015-07-21 19:19:18,464 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MyProjEclipse/src/test/java
2015-07-21 19:19:18,579 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 14 sec
2015-07-21 19:19:19,699 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-21 19:19:19,729 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-21 19:19:19,729 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-21 19:19:19,729 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Mpomfyuk\WebApp\MyProjEclipse\src\test\resources
2015-07-21 19:19:20,822 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-21 19:19:20,872 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-21 19:19:20,882 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-21 19:19:20,882 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Mpomfyuk\WebApp\MyProjEclipse\src\test\resources
